Domain,Website Status,SPF,DKIM,DMARC
cahill.ie,Live (HTTP),v=spf1 a include:spf.blacknight.ie a:relay3.citruslime.com ip4:178.238.142.2 ~all,Not found,Not found
visittrinity.ie,Live (HTTP),Not found,Not found,v=DMARC1;  p=none; rua=dmarc-reports@visittrinity.ie
tg4.ie,Live (HTTP),v=spf1 ip4:40.107.14.130 include:spf.protection.outlook.com include:amazonses.com include:spf.exclaimer.net -all,Not found,v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:abuse@tg4.ie;ruf=mailto:deliveryfailure@tg4.ie;ri=86400;aspf=r;fo=1
weighnpay.ie,Live (HTTP),Not found,Not found,Not found
velondo.ie,Live (HTTP),Not found,Not found,Not found
outsider.ie,No response,v=spf1 include:_spf.google.com include:servers.mcsv.net ~all,Not found,v=DMARC1;  p=none; rua=mailto:40bdf314cf484667b371f1af98d96d5d@dmarc-reports.cloudflare.net
esri.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:nw008.com -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email;
imma.ie,Live (HTTP),v=spf1 ip4:83.174.189.2 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none;
patrickbourkemenswear.ie,Live (HTTP),v=spf1 ip4:77.235.46.119 include:shops.shopify.com include:spf.protection.outlook.com +a +mx ~all,Not found,v=DMARC1; p=none;
theaa.ie,Live (HTTPS),v=spf1 include:eu._netblocks.mimecast.com include:spf.protection.outlook.com include:customers.clickdimensions.com include:mail.zendesk.com include:_spf.qemailserver.com a ip4:54.229.2.165 ip4:52.30.130.201 ip4:212.78.241.67 ~all,Not found,v=DMARC1; p=none; rua=mailto:support@theaa.ie
ria.ie,No response,v=spf1 a include:_spf.google.com include:_spf.salesforce.com include:spf.protection.outlook.com ip4:104.18.25.107 ip4:104.18.24.107 -all,Not found,v=DMARC1; p=none; rua=mailto:vsihdl8e@ag.eu.dmarcian.com, mailto:dmarc@ria.ie
bordbia.ie,Live (HTTP),v=spf1 mx ip4:137.191.239.166 a:autotask.net include:spf.mandrillapp.com include:spf.protection.outlook.com include:spf.exclaimer.net include:_spf.salesforce.com include:sendgrid.net include:autotask.net ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarc@bordbia.ie; ruf=mailto:dmarc@bordbia.ie; aspf=r
oebikes.ie,Live (HTTP),v=spf1 include:spf.reg365.net ~all,Not found,Not found
jobs.ie,Live (HTTP),v=spf1 include:stepstone.com include:spf.protection.outlook.com a:dc3.bigmachines.com ip4:18.196.229.239 ip4:3.121.95.49 ip4:81.246.126.149 ip4:81.246.126.150 ip4:208.73.7.175 include:_spf.salesforce.com -all,Not found,v=DMARC1; p=none; rua=mailto:e3805f1a6f24587@rep.dmarcanalyzer.com; ruf=mailto:e3805f1a6f24587@for.dmarcanalyzer.com; fo=1
hores.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com ip4:78.153.200.49 a:graphedia05.blacknight.ie -all,Not found,Not found
dublincastle.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
webwise.ie,Live (HTTP),v=spf1 include:spf.mandrillapp.com -all,Not found,v=DMARC1; p=none;
transportforireland.ie,Live (HTTP),v=spf1 a mx a:mail.nationaltransport.ie include:spf.protection.outlook.com ip4:23.251.238.221 ip4:134.213.243.206 ip4:137.191.247.149 ~all,Not found,v=DMARC1; p=quarantine; pct=100; fo=1; rua=mailto:dmarc-reports@nationaltransport.ie; ruf=mailto:dmarc-forensics@nationaltransport.ie
did.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf.uk.exclaimer.net a:dispatch-eu.ppe-hosted.com include:mail.zendesk.com include:mailgun.org ip4:149.72.239.11 -all,Not found,v=DMARC1; p=none;
accord.ie,Live (HTTP),v=spf1 ip4:52.211.75.69 ip4:136.144.245.135 ip4:80.76.197.140 ip4:46.22.132.22 include:spf.mailanyone.net include:spf.protection.outlook.com include:_spf.transip.email -all,Not found,Not found
dias.ie,Live (HTTPS),v=spf1 ip4:160.6.33.4/24 ip6:2001:770:60:18::4 mx a:ogma.cp.dias.ie mx:admin.dias.ie mx:celt.dias.ie mx:stp.dias.ie ~all,Not found,v=DMARC1; p=none; sp=none; adkim=r; aspf=r; rua=mailto:dmarc@dias.ie; ruf=mailto:dmarcf@dias.ie
cro.ie,Live (HTTP),v=spf1 ip4:137.191.224.104 include:spf.sendinblue.com mx ~all,Not found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:bfa65a29@inbox.ondmarc.com; ruf=mailto:bfa65a29@inbox.ondmarc.com;
lusanashoes.ie,Live (HTTP),v=spf1 a mx ip4:87.117.230.232 include:_spf.google.com -all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzZrXRPFNdpK+JJ3VZANIOkbtxaUyrdkVSei7KLz0fNtyKKP5YDs/18sNquW1dCl5WUqKmlV6DiEhr3GkvZ8L1sV VGZzGOIGCWPgRp+ZtS+tlY32dVDuhyREAYwnmSbSHDBtOK1krRj/erf4PuReqnJbImpZb4z2SeiA4gRK2pokrenokgVkuL1NQfR7CVL8qNngw1WKKJNHnjkPTNyCjBJzd2jkpaJQZtzYqC22Dz6B0U wKG3rBXEFUCJ26KB6nQhnKtHEBhgHS1jfIl8524QrIW1KaTU7do4y0zEYKkLOT64eFFz1hM/5JyzQ+o7UqauHLKuOEkync8xkZM7h08awIDAQAB,v=DMARC1; p=none
gumtree.ie,Live (HTTP),v=spf1 mx include:_spf.google.com ~all,Not found,v=DMARC1; p=reject; sp=none;  rf=afrf; pct=100; rua=mailto:ebfa3f817ecb4da28a402b674c6a5d06@dmarc-reports.cloudflare.net;
tv3.ie,Live (HTTPS),v=spf1 mx ip4:79.140.139.0/24 include:spf.protection.outlook.com ~all,Not found,quarantine.dmarc.upcmail.net.v=DMARC1; p=quarantine; rua=mailto:jn2qdxcl@ag.eu.dmarcadvisor.com; ruf=mailto:jn2qdxcl@fr.eu.dmarcadvisor.com;
starla.ie,Live (HTTP),v=spf1 a include:spf.blacknight.ie ~all,Not found,v=DMARC1; p=none
trippluggage.ie,Live (HTTP),v=spf1 a include:spf.ess.uk.barracudanetworks.com include:spf.messagelabs.com include:tripp.iconography.co.uk include:servers.mcsv.net -all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxoScQZkht0gIn60EMUZEHFrMUUvOw6TqVPatdmb61KBzB/yUHGYvlFtL9RFlIqUUDatHcgAKPzub9pp0IfqrLKguRbvzzwQNGEOK4rl4x41h4Vi3zsWMPbCL9n96f6sVGs5o/CRwYNlK97SdujY37Y5XCBS51cs1xaVOX0Cck92yzvpZt4b1qrwrzk/rsdqre 6TQJml0+CWrZlLJzKwxkInUHbhgfRUc8JRsP6etQDOIY01vk0GVitt40V813ho0DhNvJaRlB4BYzZAYVneC6b5DJrsBer6L2Q0jT8grNxrfH402qXvbr2pzWoE3xdNK6MKVifXyVnGUw94Wj4ZjlwIDAQAB;,Not found
education.ie,Live (HTTP),Not found,Not found,Not found
dublinzoo.ie,Live (HTTP),v=spf1 ip4:82.195.132.94 ip4:5.149.168.106 include:mailanyone.net include:spf.protection.outlook.com include:relay.mailchannels.net include:servers.mcsv.net ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarcreport@dublinzoo.ie; ruf=mailto:dmarcreport@dublinzoo.ie ; rf=afrf; adkim=r; aspf=r
agriculture.gov.ie,Live (HTTP),v=spf1 mx a ip4:137.191.244.202 a:agriculture.gov.ie ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarc.reporting@agriculture.gov.ie; ruf=mailto:dmarc.forensics@agriculture.gov.ie; ri=604800
westportbikeshop.ie,Live (HTTP),v=spf1 include:_spf-eu.ionos.com ~all,Not found,Not found
pureonline.ie,Live (HTTP),v=spf1 ip4:91.210.235.165 include:spf.webhostingireland.ie +a +mx ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAs7H+KGeGafetxRy+y1+EWagi91kpZ4vKkOgLii1Fwg6gaXoJOqkCX3as7IFi9zyMn8HyTmvXpHnaat34RXHnfOhEiGOOIaQF23n8UxXed4tQTd7TJJg/z/4pTJ6KfcnV2TVxwO96DOUprYWjn+6xuqrI0XnsUYIqYAtKGb5HlEXFYGgXg3laP3Xm30hVJQeqF tLIUA4rrHze5ts/U8EXZ7bAxU3SXfenzuBlt11hHnwrcZtIZZfRzvX0OgKEjQX+5FvMDSMVg94wKqZcYO7c0iiq0nQ2n/BBanaIrt0o0/yGj4/0aRJGY1+pLHNpKqbTGjmjXTONbV6bt02H10wWDQIDAQAB;,Not found
askaboutireland.ie,Live (HTTP),Not found,Not found,Not found
redmillsstore.ie,Live (HTTP),v=spf1 a:eu.exclaimer.net a:exchangelabs.com a:mailanyone.net a:gw117220.fortimail.com ip4:185.2.66.40 ip4:209.52.117.220 ip4:89.204.254.68 ip4:52.214.176.33 include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=quarantine; sp=none
bornclothing.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarc+bornclothing@properr.com
shopstreet.ie,Live (HTTP),v=spf1 +a +mx +ip4:62.182.20.190 include:relay.email-cluster.com +include:_spf.createsend.com ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxGqE11zEIh8ilTpa7mlJ65sVmxvDlBNeojJ4Vrq4AHnUtpRw+ew5JRJ7RKmbV4rvUabX1Bgs6QzkQucPJ4HNmVIM8ihxgOST0Jnun5N037Vcafpc66/hx3dKtLU+MFRWNOZIZZTDvheGLSxT4KgBpNAyMaVqqYR+t3byXulIwR2C83s/CVealUcpTA/yXyiPW 6qmUpL/fEFuIEIUkZp6MbAcA8K5lxvX5UNhdN8IbCK1wwleL8mue0KiQskEZ5zWc0gFFFIlCDCPhfuEZ6aeBSX0FFkPZDJW9Y3om07g9Cco9LujiH9yck4TcYSZFi7thCs0a9cyagEpRHx3652ATwIDAQAB;,v=DMARC1; p=none;
hitched.ie,Live (HTTP),v=spf1 include:_s00609261.autospf.email -all,Not found,Not found
justice.ie,Live (HTTPS),v=spf1 include:jsec.ie -all,Not found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc@justice.ie;
vidaxl.ie,Live (HTTP),v=spf1 a:mail.vidaxl.com a:mail2.vidaxl.com include:_spf.bullhornmail.com include:spf.mirakl.net include:trustpilotservice.com include:mail.zendesk.com include:mailcontrol.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:fa272b2b85ab821@rep.dmarcanalyzer.com; ruf=mailto:fa272b2b85ab821@for.dmarcanalyzer.com; fo=1;
hpra.ie,Live (HTTP),v=spf1 mx ip4:137.191.247.68 ip4:137.191.245.207 ip4:84.51.229.170 a:esa1.hc1441-16.eu.iphmx.com a:esa2.hc1441-16.eu.iphmx.com ~all,Not found,v=DMARC1; p=none; rua=mailto:itsecurity@hpra.ie;
gillanders.ie,Live (HTTP),v=spf1 +a +mx +ip4:96.127.186.146 include:spf.greengeeks.net +ip4:96.127.186.101 +ip4:107.6.155.186 ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAz5wmLRcMO0mpml8Ji978OCoCDKY5CQB5soTDDK9CweiKnjZGadw5P8pHDUp+O9hbi/0e3wu/SX6wUsanRjxx5EJFhJHFPzBeZgAax16BFOqzsOCkfpxSRomZ7rdJ2NB7QCAV7NwOQWx34kG2GfVZHfzExR7cvxug7Apj+u5CakSGEQWkxnC0W/QVwtPJOYs5b WP+e119XNYG5Mn9gv7mI1a/ZBcSTQ2VabyVrlvjOPx6C+bLhsQUUqBqkwnH6yEy9h/M/pDcScaZfVa/vcCR+c0UFja2gcQmauS+8+IotWHofmUNaVNPgPmN+Th2BLMF/mpZpmtHu5O0QZ/WV17tEwIDAQAB;,v=DMARC1;p=quarantine;sp=none;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400;ruf=mailto:darylrutledge@gmail.com,mailto:darylrutledge@gmail.com,mailto:darylrutledge@gmail.com
riai.ie,Live (HTTP),v=spf1 ip4:5.149.175.138 ip4:86.43.111.211 a:mail.riai.ie include:servers.mcsv.net include:spf1.emailsecurity.app include:spf.ess.uk.barracudanetworks.com include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=reject; fo=1; rua=mailto:dkgjlkcr@rua.dmarceye.com; ri=86400
sportsjoe.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:sendgrid.net include:spf.EU.exclaimer.net ~all,Not found,v=DMARC1;  p=none; rua=mailto:ca5563c1d4a445fd822caca17b1273d7@dmarc-reports.cloudflare.net
revolvebikeshop.ie,Live (HTTP),v=spf1 include:_spf.google.com include:sendgrid.net include:pushretail.io -all,v=DKIM1; p=,v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s;
donaghysonline.ie,Live (HTTP),v=spf1 +a +mx +ip4:91.210.232.8 include:spf.webhostingireland.ie +ip4:185.43.232.251 ~all,Not found,Not found
myhome.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none;
christeningandoccasions.ie,Live (HTTP),v=spf1 include:_spf.mail.hostinger.com ~all,Not found,Not found
electrocity.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc-reports@electrocity.ie; ruf=mailto:dmarc-failures@electrocity.ie; sp=none; aspf=r;
amphibianking.ie,Live (HTTP),v=spf1 a include:spf.blacknight.ie  ~all,Not found,Not found
cinderellascloset.ie,Live (HTTP),v=spf1 +a +mx +include:spf.myhost.ie ~all,v=DKIM1; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsReHbs0Mss5v99wOBjhc1JLQWWSq3afbFE9x1cmCD05uBTUbnBHTZElYUeaZsoXXtrOsOF69EuXfjbXh+Eg1QbtHbgJfPdHkU/PkBn9DP26FX9CGj6hdGYx6jzK+j05icB5ubbEZPf5XI9hiBoBfrmxf7hA2kOIOgdiPXVsh44TMRvDya8kWSVBOw0MrtOCiuQkA0afO Aa4ZBsSQ4fv1FlobrMmt8iWt+LONNxaCV20muo70x49aQ28h3d1prXSaYA3phBuDYAqk0o6e3D7xztv4UmyOOrYk9OWQc2WV6Tr6iM1vPZv3zzVW7RSGcIdSLaAXufRJdMMryHxip+GhIQIDAQAB;,v=DMARC1; p=none; rua=mailto:rua@dmarc.brevo.com
thekitchenwhisk.ie,Live (HTTP),v=spf1 include:_spf.granite.ie include:_spf.google.com  ~all,Not found,Not found
wit.ie,No response,Not found,Not found,v=DMARC1;p=none; pct=100;rua=mailto:djt@wit.ie;ruf=mailto:djt@wit.ie
cultureireland.ie,Live (HTTP),Not found,Not found,Not found
byb.ie,No response,v=spf1 a include:spf.blacknight.ie  ~all,Not found,Not found
setu.ie,No response,Not found,Not found,Not found
idonate.ie,Live (HTTP),Not found,v=DKIM1; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCXvjUm53cDryGsBFVRKQjLGGx818ny5svfsQYiyqD8tWZYTZmrL2LVTiC7AkuWCWi15nfqc/7c7ULIkbOG6DrcF60Wr6ux/YbrlCJa92vLg7LmncINyJScY4X5Of16s80/e7n/h5ml5A5UVh6odUvgphC/wgsn8l5xVvmfBVJShwIDAQAB;,v=DMARC1; p=quarantine; rua=mailto:e05f645c8c9e4284908e1fb234a67e0c@dmarc-reports.cloudflare.net,mailto:tox5mowa@ag.dmarcian.com;
petmania.ie,Live (HTTP),v=spf1 +a +mx include:spf.protection.outlook.com include:spf.ess.de.barracudanetworks.com ~all,Not found,v=DMARC1; p=quarantine; sp=none; rua=mailto:dmarc@petmania.ie; ruf=mailto:dmarc@petmania.ie; fo=1;
hopkinsofwicklow.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none
casualcompany.ie,Live (HTTP),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarc-reports@casualcompany.ie,mailto:re+781b2c2b575d@inbound.dmarcdigests.com
goldenpages.ie,No response,v=spf1 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none;
cit.ie,No response,v=spf1 ip4:193.120.143.134 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none; rua=mailto:svc_dmarc@mtu.ie
wardrobeplus.ie,Live (HTTP),v=spf1 include:spf.reg365.net ~all,Not found,v=DMARC1; p=none;
clarkesofcavan.ie,Live (HTTP),v=spf1 a ip4:62.40.47.146 ip4:86.43.84.36 include:_spf.mlsend.com include:spf.protection.outlook.com include:spf.topsec.com include:mxsspf.sendpulse.com -all,Not found,Not found
kerrywoollenmills.ie,Live (HTTP),v=spf1 +a +mx include:kerrywoollenmills.ie.spf.auto.dnssmarthost.net ~all,kerrywoollenmills.ie.default.dkim.auto.dnssmarthost.net.default._domainkey_cf9cf521dac80755899766d81b52013a.dkim.dnssmarthost.net.v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC8sYfEX+pGj14K17urVA2d5e6Ly90jkT5ddFH43HJoTiaDegIjWPdDZrRzreqNsvG1l5jKtKXIo6oHBuiPRpX9NQ4jzz7tHmw6b0kudel5FeyvsJj9RsEuN6E9EgQzPeA/gammMorrnZeUNIUoOmayS5LJdIJKMqbhLArq7sGyrwIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
bumbleskids.ie,Live (HTTP),v=spf1 +include:spf.antispamcloud.com include:relay.mailchannels.net +a +mx +ip4:217.115.113.22 ?all,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDZqXM1d7/4K8DrbwYaJ3OXbEG/KMj3jpMyEXB9goriSwCBRurK3NhJ9JinhIp1TVOxVK6BFTTtz+HdSzrpx6uDKyej1g8FhHTANPtdkZC+SBXqIYmSzDR9PCTXBxXNGv1rdpGBxhs612YY2EvXFYISsjJQICONbfttQNAqSZ2NvwIDAQAB;,v=DMARC1; p=none; rua=mailto:bumbleskidsboutique@gmail.com;
mummypages.ie,Live (HTTP),v=spf1 a mx ip4:185.190.207.16/28 mx:mail.opensolutions.ie include:zoho.com include:spf.mandrillapp.com include:spf.sendinblue.com include:_spf.google.com -all,Not found,v=DMARC1; p=none; sp=none; rua=mailto:dmarc@mailinblue.com!10m; ruf=mailto:dmarc@mailinblue.com!10m; rf=afrf; pct=100; ri=86400
cancer.ie,Live (HTTP),v=spf1 include:_spf.mx.cloudflare.net ~all,Not found,v=DMARC1; p=reject; rua=mailto:27eed7a6e3884d738bc8b1b38f44841b@dmarc-reports.cloudflare.net,mailto:lxuh6y7n@ag.eu.dmarcian.com; ruf=mailto:lxuh6y7n@fr.eu.dmarcian.com;
esb.ie,Live (HTTP),v=spf1 mx a include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=none; pct=100; fo=1; ri=3600; rua=mailto:a4714750@inbox.ondmarc.com,mailto:dmarcnotifications@esb.ie; ruf=mailto:a4714750@inbox.ondmarc.com,mailto:dmarcnotifications@esb.ie;
magees.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com a:magees.dmacmedia.ie a ip4:212.147.209.15/32 include:_spf.livelink.io ~all,v=DKIM1; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDY3rU8LTjJJ936rpYU/UjtZVZbwBxRE0ot4KDEdDrsiS+cvRtFj37nFAlfLvz6G40cgOnk1/iLaJI7RnlHjcT+yQqhriuPL5uoY8pL4ENvTj2GHUrfTqAl+roXpoYXx3/FYUBqRME/n11CYBqpI+1ZOH0kXUK2oO6YHEIp9KcQawIDAQAB;,v=DMARC1; p=none;
classiccarsales.ie,No response,Not found,k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC41vG+wqCWOd0F/oWYE+eCCtVzX+orzBn5+rXS54pC3nxuqVNMZpLiq38bIyJsAIROsvvfmDtoh5XdP8Y1PB9RYVMmqvU4wGyd2xV+9eGeH3SOHL6RYPLmhXY9v0XKamfbTfUZT8k13T5MHJZRQg1MUGJkKWVyB6IHFL7NyciBIwIDAQAB,Not found
limerickpost.ie,Live (HTTP),v=spf1 a mx ptr ip4:89.100.226.254 include:spf.elive.net a:smtp.qsat.ie include:spf.newsletter.ie -all,v=DKIM1; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCrvepvYprzh6HWrvQClhYhQXP5FEDNqePWd48J9MtZoxqW+QhQHyW/38ICm3tOD2cSCLwBCHEF0fI6X9lG+6nlUAjOAv0YZ4DTzNW+5+12BKcetj6l64/h5dO9YipJAf7Z1Od0cosy+r1BAMsNTYbgHYmmZWlIaDq8tKmKlr3/JQIDAQAB;,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc-report@sensorpro.net; ruf=mailto:dmarc-report@sensorpro.net
dkit.ie,Live (HTTP),v=spf1 mx a ip4:116.203.110.13 ip4:159.69.3.23 ip4:193.120.142.176 ip4:193.120.143.70 ip4:193.120.143.134 ip4:193.120.143.138 ip4:52.31.29.196 ip4:52.213.53.209 ip4:54.229.16.46 a:mailrelay.ancheim.ie mx:lgcsb.ie a:relay.lgcsb.ie a:Exch-Cas-2013.dkit.ie  include:spf.protection.outlook.com include:amazonses.com include:eu.transmail.net include:_tuf-spf.touchnet.com include:em6920.dkit.ie include:sendgrid.net -all,Not found,v=DMARC1; p=quarantine; rua=mailto:postmaster@dkit.ie
ait.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com ip6:2001:770:50:4300::12 a:mail.mindaclient.com -all,Not found,Not found
stpatrickscathedral.ie,Live (HTTP),v=spf1 include:_spf.stpatrickscathedral_ie._d.easydmarc.pro ~all,Not found,stpatrickscathedral.ie._dmarc.dns.palisade.email.v=DMARC1; p=reject; pct=100; rua=mailto:qpkmssfggc@reports.palisade.email,mailto:239d047db2@rua.easydmarc.us; ruf=mailto:239d047db2@ruf.easydmarc.us; fo=1; aspf=r; adkim=r; ri=86400;
donegallive.ie,Live (HTTP),v=spf1 ip4:66.102.128.96 ip4:190.180.144.248 ip4:91.136.49.205 ip4:207.55.255.20 +a +mx ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzV7JG92OqHNG0UWsaxVHaS/XFYpBsv3zgaksHryjYd9cUYpvdV4tf6KEOWUToaEJ6PFg70+PTrdZFLyd/A2yhNLPPFqeYzR5uXvPkDOMp1YEvkoW9GPMbwEczH+P0Yt8mZqqMx8eN8Ko36J9sfecHPiV3ctxxPldXqAXNGJCpP6UAwspiLI9fSDa9UEe9ZyAm ZvnBTRlZfM72bz5ocusqR8gu4sIzrb+AqW+EM9lPyppx761GICVFcNYo9/OeXXjeQfFJ63Jld4qeC6iLKKARo721AvyrNRcsOfbUeCUxFRLXpgxTSQPLxz9OYX8NKprwPYM3Mmwpvqpc77dBHQZ7QIDAQAB;,Not found
myfairlady.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
image.ie,Live (HTTPS),v=spf1 include:eu._netblocks.mimecast.com include:spf.mtasv.net include:servers.mcsv.net include:_spf.google.com include:emsd1.com ~all,Not found,v=DMARC1; p=none;
ibec.ie,Live (HTTP),v=spf1 include:spf.mailanyone.net include:spf.protection.outlook.com include:_spf.eu.messagegears.net -all,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_rua@ibec.ie; ruf=mailto:dmarc_ruf@ibec.ie; fo=1
lottoland.ie,Live (HTTP),v=spf1 a mx ip4:89.238.168.0/28 ip4:83.222.253.134 ip4:176.74.181.163 ip4:176.74.181.164 ip4:85.115.132.198/28 include:smtp1.uservoice.com include:trustpilotservice.com ~all,Not found,v=DMARC1;p=none
horze.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:mail.zendesk.com include:outgoing.POD270.demandware.net ip4:160.8.67.227 ip4:160.8.114.84 ~all,Not found,v=DMARC1;p=reject;sp=reject;pct=100; rua=mailto:641fb49e23@rua.easydmarc.us;ruf=mailto:641fb49e23@ruf.easydmarc.us;fo=1;
dopl.ie,Live (HTTP),Not found,Not found,Not found
usedbikes.ie,Live (HTTP),v=spf1 include:zoho.com ~allv=spf1 a mx include:_spf.zoho.com -allv=spf1 a mx include:_spf.cyberfolks.pl -all,Not found,v=DMARC1; p=none; sp=none
stovespareparts.ie,Live (HTTPS),v=spf1 a include:spf.blacknight.ie  ~all,Not found,Not found
yelp.ie,Live (HTTP),v=spf1 ip4:198.51.132.21 ip4:199.255.188.0/22 ip4:209.177.160.9 ip4:209.177.164.34 ip4:209.177.168.2 include:servers.mcsv.net include:_spf1.yelp.com -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc@yelp.com; ruf=mailto:dmarc_fr@yelp.com
wisemans.ie,Live (HTTP),v=spf1 include:spf.reg365.net ~all,Not found,Not found
irishjobs.ie,Live (HTTP),v=spf1 include:stepstone.com include:mcxplatform.de a:dc3.bigmachines.com ip4:18.196.229.239 ip4:3.121.95.49 ip4:208.73.7.175 include:_spf.salesforce.com -all,Not found,v=DMARC1; p=none; rua=mailto:e3805f1a6f24587@rep.dmarcanalyzer.com; ruf=mailto:e3805f1a6f24587@for.dmarcanalyzer.com; fo=1
choicestores.ie,Live (HTTP),v=spf1 include:_spf.jupiter.salesmanago.pl ip4:89.234.93.34 ip4:84.203.181.150 ip4:78.143.184.150 ip4:78.143.182.102 ip4:86.43.102.31 ip4:84.203.181.66 ip4:93.107.124.19 ip4:78.143.184.82 ip4:78.143.180.138 ip4:78.143.185.34 ip4:78.143.184.142 ip4:78 .143.182.62 ip4:83.70.179.102 ip4:86.43.81.102 ip4:83.147.156.214 ip4:78.143.180.74 include:spf-eu.emailsignatures365.com include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=reject; rua=mailto:support@choicestores.ie
favouritefashions.ie,Live (HTTP),Not found,Not found,Not found
keanes.ie,Live (HTTP),v=spf1 include:spf.hornetsecurity.com include:spf.protection.outlook.com include:spf.spamhero.com include:amazonses.com ip4:89.100.122.214 -all,Not found,v=DMARC1; p=quarantine; pct=100; rua=mailto:postmaster@keanes.ie;
hockeyworld.ie,Live (HTTP),v=spf1 mx a include:spf.elive.net ~all,v=DKIM1; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEArwQabjQegCoPLah+0YB2pFkaPcEI7NVSrkAIkcoYSfvxfh6cAT34P/QT/0x9ZqWXTTp4yhjCOFZsGfORi0vuzeGmRHDK+PBcFdqTXMsS0f+BQFHJCMtSGnzfSyi4WRpTYpwnPn2rhdkMqkX1/COxdk8D9QhZmdlscieJz/ex+pNXwmI2lmF1vMsUoKPf4vKxNrWkzT 7Ek096MWh0LZ+qnhGPYgypbvIBQJuWxhS7d4GdKSQvOqIaoUcfTUKSboTqK9Ct7pTaDKGkqWAA+bqfe0oW6SwHn12IllwNb5voDiAMuxQXiHO0x/qnNvCvlHxQC3EZ0jGmdQ4tJ/d2xiEoIwIDAQAB;,v=DMARC1; p=none;
